,unique_songs,counts
157,Miley Cyrus__Wrecking Ball,1011
158,Jet__Are You Gonna Be My Girl,1010
159,P!nk__Just Give Me a Reason,1010
160,Eminem__Lose Yourself - Soundtrack Version,1010
161,The Rolling Stones__Sympathy For The Devil,1008
162,a-ha__Take On Me,1007
163,Daft Punk__One More Time,1005
164,Of Monsters and Men__Dirty Paws,1001
165,Nirvana__Lithium,1000
166,Ariana Grande__Problem,999
167,The xx__Islands,998
168,LMFAO__Sexy And I Know It,998
169,Modest Mouse__Float On,995
170,Beck__Loser,994
171,Foo Fighters__The Pretender,991
172,Calvin Harris__Feel so Close - Radio Edit,990
173,Lynyrd Skynyrd__Sweet Home Alabama,988
174,Kavinsky__Nightcall,987
175,Arcade Fire__Reflektor,987
176,U2__With Or Without You,985
177,Guns N' Roses__Paradise City,984
178,Lana Del Rey__Born To Die,983
179,Bruno Mars__Just The Way You Are,980
180,Lady Gaga__Bad Romance,979
181,Arctic Monkeys__Why'd You Only Call Me When You're High?,975
182,José González__Heartbeats,975
183,"Earth, Wind & Fire__September",973
184,Passion Pit__Sleepyhead,973
185,Nico & Vinz__Am I Wrong,969
186,The Postal Service__Such Great Heights,969
187,Flo Rida__Good Feeling,968
188,Jason Derulo__Talk Dirty (feat. 2 Chainz),967
189,Peter Bjorn And John__Young Folks,967
190,Naughty Boy__La La La,964
191,Fleetwood Mac__Go Your Own Way,962
192,The Strokes__Reptilia,960
193,Foals__My Number,957
194,James Blake__Retrograde,957
195,Bon Jovi__Livin' On A Prayer,957
196,The Rolling Stones__Gimme Shelter,955
197,PSY__Gangnam Style (강남스타일),954
198,Ed Sheeran__I See Fire,954
199,Lorde__Tennis Court,953
200,Nicki Minaj__Starships,951
201,Lana Del Rey__Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,948
202,U2__Beautiful Day,948
203,David Guetta__Titanium (feat. Sia),946
204,JAY Z__Holy Grail,940
205,The Killers__When You Were Young,939
206,Jessie J__Bang Bang,937
207,Radiohead__No Surprises,935
208,The Goo Goo Dolls__Iris,934
209,Justin Timberlake__Suit & Tie featuring JAY Z,932
210,Michael Jackson__Beat It - Single Version,930
211,The Lumineers__Stubborn Love,924
212,Counting Crows__Mr. Jones,922
